iter	Logloss
0	0.6890345681
1	0.6853210413
2	0.681717472
3	0.6784784186
4	0.6757699019
5	0.6730621876
6	0.6707530867
7	0.6685632112
8	0.6665091651
9	0.6646923153
10	0.6629798527
11	0.6614743522
12	0.6600420261
13	0.6587919533
14	0.6575315718
15	0.6564406074
16	0.6553587799
17	0.6543091717
18	0.6533671463
19	0.65251902
20	0.6518307916
21	0.6511871763
22	0.6505893703
23	0.6498814718
24	0.6492351912
25	0.6486198488
26	0.6480938522
27	0.6475559127
28	0.647117328
29	0.6466595585
30	0.6461861437
31	0.6457720678
32	0.6454070451
33	0.6450256691
34	0.6446769224
35	0.6443342288
36	0.6439960237
37	0.6437351747
38	0.6434417709
39	0.6431584451
40	0.6428873327
41	0.6426754326
42	0.6424460687
43	0.6422632128
44	0.6420678747
45	0.6418863853
46	0.6416759901
47	0.6415210897
48	0.6413119873
49	0.6411270509
50	0.6409660291
51	0.6408137696
52	0.6406509989
53	0.6405072288
54	0.6403454107
55	0.6402286598
56	0.6401004272
57	0.6399903327
58	0.6398963203
59	0.6397985815
60	0.6396800642
61	0.6395837211
62	0.6394863459
63	0.6394131899
64	0.6393445222
65	0.6392409412
66	0.6391714853
67	0.6390799726
68	0.6390037806
69	0.6389273999
70	0.6388518774
71	0.6387710753
72	0.6386897461
73	0.6386291093
74	0.6385793192
75	0.6385306735
76	0.6384775429
77	0.6384248703
78	0.638381819
79	0.6383237499
80	0.638264019
81	0.6382153222
82	0.6381621326
83	0.6381076581
84	0.6380683136
85	0.6380300038
86	0.6379762085
87	0.6379425076
88	0.6379017034
89	0.6378653321
90	0.6378372386
91	0.6377997976
92	0.6377604716
93	0.6377244884
94	0.637687249
95	0.6376514374
96	0.6376267274
97	0.6375990006
98	0.6375726456
99	0.6375505378
