iter	Passed	Remaining
0	4	425
1	7	367
2	11	370
3	15	362
4	18	353
5	23	366
6	27	364
7	32	370
8	36	368
9	39	356
10	43	353
11	47	350
12	51	344
13	55	338
14	58	334
15	62	327
16	66	325
17	70	320
18	76	324
19	81	325
20	85	320
21	88	314
22	91	307
23	95	301
24	98	295
25	101	289
26	104	283
27	108	279
28	112	274
29	115	269
30	118	263
31	121	258
32	125	253
33	128	250
34	132	245
35	135	240
36	139	237
37	142	232
38	146	228
39	150	225
40	153	220
41	157	217
42	160	213
43	164	209
44	169	206
45	174	204
46	178	201
47	183	199
48	187	194
49	190	190
50	193	185
51	197	182
52	201	178
53	204	174
54	207	169
55	210	165
56	214	161
57	219	158
58	223	155
59	228	152
60	232	148
61	236	145
62	240	140
63	243	137
64	247	133
65	251	129
66	254	125
67	258	121
68	262	118
69	266	114
70	271	110
71	274	106
72	280	103
73	282	99
74	286	95
75	289	91
76	293	87
77	296	83
78	299	79
79	302	75
80	305	71
81	309	67
82	312	63
83	315	60
84	319	56
85	322	52
86	325	48
87	328	44
88	332	41
89	335	37
90	339	33
91	342	29
92	346	26
93	350	22
94	353	18
95	357	14
96	360	11
97	363	7
98	366	3
99	370	0
